...1,COMID,CAT_PPT_JAN_2016,CAT_PPT_FEB_2016,CAT_PPT_MAR_2016,CAT_PPT_APR_2016,CAT_PPT_MAY_2016,CAT_PPT_JUN_2016,CAT_PPT_JUL_2016,CAT_PPT_AUG_2016,CAT_PPT_SEP_2016,CAT_PPT_OCT_2016,CAT_PPT_NOV_2016,CAT_PPT_DEC_2016,source
406322,3917070,156.49,61.25,148.57,61.81,40.12,28.23,4.34,0.92,8.02,243.56,120.9,185.86,CAT_PPT_2016
406323,3917072,155.99,59.31,148.41,61.56,39.99,28.31,4.28,0.93,7.76,243.46,120.31,184.6,CAT_PPT_2016
406328,3917082,179.04,74.79,169.52,65.01,34,24.74,3.28,1.13,4.03,261.9,133.89,197,CAT_PPT_2016
406329,3917084,164.69,67.13,159.99,64.35,36,25.18,3.69,1.07,4.54,255.82,128.18,189.95,CAT_PPT_2016
406340,3917106,163.39,64.97,155.39,59.22,33.29,26.34,3.47,1.1,4.12,247.51,117.43,176.57,CAT_PPT_2016
406344,3917114,149.75,54.22,141.04,55.28,34.6,27.63,3.82,0.98,5.24,229.1,106.21,160.21,CAT_PPT_2016
406352,3917130,136.08,47.12,129.91,48.7,31.81,30.04,3.82,1.02,4.31,215.79,90.52,138.26,CAT_PPT_2016
406355,3917136,159.57,62.91,149.82,55.08,31.56,26.8,3.41,1.12,4.02,242.39,106.47,166.06,CAT_PPT_2016
406356,3917138,131.9,45.95,123.38,42.81,29.19,29.47,3.67,1.1,4.08,217.24,71.54,126.27,CAT_PPT_2016
406364,3917154,153.3,57.06,144.8,58.75,37.9,28.18,4.11,0.94,6.91,236.68,114.02,174.25,CAT_PPT_2016
406365,3917156,141.1,46.41,124.67,45.83,31.86,29.73,3.83,0.92,6.05,202.24,85.24,132.9,CAT_PPT_2016
406366,3917158,141.69,37.15,107.69,31.19,24.75,28.82,4.03,0.81,4.95,154.05,61.27,95.92,CAT_PPT_2016
406367,3917160,146.12,40.24,111.94,34.24,25.4,27.71,4.01,0.83,5.75,156.57,65.57,95.96,CAT_PPT_2016
406368,3917162,131.35,41.16,117.98,40.98,29.31,31.64,3.73,1,4.52,192.97,73.99,115.22,CAT_PPT_2016
406369,3917164,141.49,41.98,114.89,36.97,27.4,28.53,3.98,0.87,5.59,167.84,67.41,102.63,CAT_PPT_2016
406373,3917172,148.04,49.43,130.11,47.79,32.74,28.54,4.1,0.9,6.47,200.96,90.24,138.3,CAT_PPT_2016
406375,3917176,138.42,39.68,115.81,37.12,28.46,32.02,3.82,1.01,4.88,171.1,66.94,102.92,CAT_PPT_2016
406376,3917178,135.69,39.88,115.33,37.93,29.31,32.69,3.73,1.03,4.85,177.77,68.77,106.43,CAT_PPT_2016
406383,3917194,136.33,46.41,131.21,46.19,35.19,36.56,4.02,1.42,4.07,205.97,84.37,135.72,CAT_PPT_2016
406384,3917198,138.79,36.24,105.46,30.37,24.09,28.81,4,0.86,4.62,151.6,59.77,94.65,CAT_PPT_2016
406385,3917200,140.17,36.73,106.92,30.79,24.48,28.83,3.96,0.86,4.71,152.75,60.35,95.59,CAT_PPT_2016
406396,3917230,97.42,27.22,80.2,24.12,14,25.28,3.56,1.01,1.37,112.08,35.01,60.46,CAT_PPT_2016
406398,3917244,98.09,28.01,83.68,25.17,14.22,25.36,3.25,1.29,1.52,112.47,34.7,61.73,CAT_PPT_2016
406496,3917912,137.16,43.02,118.52,41.73,29.79,30.19,3.71,0.92,5.58,191.53,76.13,119.41,CAT_PPT_2016
406497,3917914,136.78,47.35,127.08,44.07,29.08,29.01,3.61,1.13,4.25,205.47,72.59,131.4,CAT_PPT_2016
406498,3917916,136.01,46.48,128.86,45.71,32.23,32.3,3.86,1.16,4.18,215,82.28,133.06,CAT_PPT_2016
406499,3917918,141.18,38.3,112.23,33.84,26.1,30.13,3.95,0.91,4.86,159.84,63.18,98.02,CAT_PPT_2016
406500,3917920,139.32,36.36,105.84,30.47,24.22,28.84,4.01,0.85,4.68,152.08,59.99,94.94,CAT_PPT_2016
406501,3917922,125.13,33.2,95.31,27.73,20.77,27.82,3.81,1.1,3.33,139.1,54.26,87.4,CAT_PPT_2016
406511,3917946,102.09,29.37,84.84,25.94,14.52,25.51,3.11,0.99,1.61,114.27,36.2,63.78,CAT_PPT_2016
406512,3917948,114.37,32.86,95.02,28.48,17.59,26.11,3.07,1.51,2.22,126.01,45.82,78.38,CAT_PPT_2016
406513,3917950,104.95,30.18,88.08,26.84,15.79,25.44,3.02,1.61,1.81,117.71,38.76,69.02,CAT_PPT_2016
2695742,948010089,124.19,33,95,27.63,20.5,27.87,3.77,1.15,3.17,138.24,53.61,86.69,CAT_PPT_2016
