COMID,MAX,MAJORITY,source
3917070,97,17,HLR_DOM_CONUS
3917072,100,17,HLR_DOM_CONUS
3917082,100,15,HLR_DOM_CONUS
3917084,94,15,HLR_DOM_CONUS
3917106,96,15,HLR_DOM_CONUS
3917114,98,17,HLR_DOM_CONUS
3917130,85,15,HLR_DOM_CONUS
3917136,96,15,HLR_DOM_CONUS
3917138,100,15,HLR_DOM_CONUS
3917154,98,17,HLR_DOM_CONUS
3917156,100,17,HLR_DOM_CONUS
3917158,100,17,HLR_DOM_CONUS
3917160,100,17,HLR_DOM_CONUS
3917162,76,15,HLR_DOM_CONUS
3917164,100,17,HLR_DOM_CONUS
3917172,100,17,HLR_DOM_CONUS
3917176,53,15,HLR_DOM_CONUS
3917178,59,15,HLR_DOM_CONUS
3917194,99,15,HLR_DOM_CONUS
3917198,57,17,HLR_DOM_CONUS
3917200,54,17,HLR_DOM_CONUS
3917230,100,10,HLR_DOM_CONUS
3917244,21,15,HLR_DOM_CONUS
3917912,65,15,HLR_DOM_CONUS
3917914,95,15,HLR_DOM_CONUS
3917916,95,15,HLR_DOM_CONUS
3917918,54,17,HLR_DOM_CONUS
3917920,100,17,HLR_DOM_CONUS
3917922,96,13,HLR_DOM_CONUS
3917946,21,15,HLR_DOM_CONUS
3917948,54,17,HLR_DOM_CONUS
3917950,21,15,HLR_DOM_CONUS
948010089,88,13,HLR_DOM_CONUS
